n,deltaTime,Nitrogen Pressure,Pneumatic Circuit Pressure,Purge Circuit Pressure,Oxidizer Fill Pressure,Oxidizer Tank Pressure,Fuel Tank Pressure,Chamber Pressure 1,Igniter Temperature,Oxidizer Bulkhead Temperature,Fuel Bulkhead Temperature,Nitrogen Purge Valve,Oxidizer Fill Valve,GSE Oxidizer Dump Valve,Tank Oxidizer Dump Valve,Main Oxidizer Valve,Main Fuel Valve,Total Tank Mass,Thrust,System Clock,State
0.00,5843.21,2269.13,101.06,510.34,816.52,7.12,32.61,6.03,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.71,31230.30,%sSafe
1.00,38.94,2269.13,101.61,510.34,816.52,7.12,32.61,6.03,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.71,31230.34,%sSafe
2.00,40.83,2269.13,101.61,509.58,816.59,6.78,32.05,6.11,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.71,31230.38,%sSafe
3.00,111.66,2268.83,102.03,510.03,816.56,6.78,32.05,6.11,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.71,31230.50,%sSafe
4.00,36.37,2268.83,102.03,510.03,816.56,6.81,32.05,5.33,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.71,31230.53,%sSafe
5.00,37.91,2268.83,102.03,510.03,816.56,6.81,32.03,5.33,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.74,31230.57,%sSafe
6.00,42.63,2269.55,101.55,510.03,816.56,6.81,32.03,5.33,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.74,31230.61,%sSafe
7.00,39.19,2269.55,101.55,509.92,817.04,6.82,32.03,5.33,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.74,31230.65,%sSafe
8.00,39.79,2269.55,101.55,509.92,817.04,6.82,32.00,5.02,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.74,31230.69,%sSafe
9.00,36.10,2268.70,101.92,510.42,816.57,6.79,32.00,5.02,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.71,31230.73,%sSafe
10.00,130.90,2268.85,101.28,510.42,816.57,6.79,31.66,6.07,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.71,31230.86,%sSafe
11.00,78.98,2268.85,101.28,509.98,817.15,6.90,32.04,5.41,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31230.94,%sSafe
12.00,83.02,2269.21,101.63,509.98,817.15,6.90,32.04,5.41,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31231.02,%sSafe
13.00,41.00,2269.21,101.63,509.84,816.81,6.80,32.04,5.88,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31231.06,%sSafe
14.00,112.07,2269.21,101.63,509.84,816.81,6.80,32.59,5.88,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31231.17,%sSafe
15.00,93.94,2269.10,101.29,509.84,816.81,6.80,32.59,5.88,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31231.27,%sSafe
16.00,37.02,2269.10,101.29,509.99,816.81,6.80,32.59,5.88,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31231.30,%sSafe
17.00,91.05,2269.10,101.29,509.99,817.10,6.81,32.18,5.93,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31231.40,%sSafe
18.00,85.91,2269.35,101.29,509.99,817.10,6.81,32.18,5.93,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.72,31231.48,%sSafe
