Logging,,Pressures (psi),,,,,,,Temperatures (K),,,Valves,,,,,,Force (kg),,Sequence,
n,deltaTime,Nitrogen Pressure,Pneumatic Circuit Pressure,Purge Circuit Pressure,Oxidizer Fill Pressure,Oxidizer Tank Pressure,Fuel Tank Pressure,Chamber Pressure 1,Igniter Temperature,Oxidizer Bulkhead Temperature,Fuel Bulkhead Temperature,Nitrogen Purge Valve,Oxidizer Fill Valve,GSE Oxidizer Dump Valve,Tank Oxidizer Dump Valve,Main Oxidizer Valve,Main Fuel Valve,Total Tank Mass,Thrust,System Clock (s),State
1,51.02,1967.87,108.03,544.83,865.99,11.39,13.27,14.83,0,0,0,0,0,0,1,0,0,2.38,0,8724.72,%sSafe
2,31.2,1967.87,108.03,544.83,865.99,11.39,13.27,14.49,0,0,0,0,0,0,1,0,0,2.38,0,8724.76,%sSafe
3,91.12,1967.87,108.03,544.83,865.99,11.39,13.27,14.49,0,0,0,0,0,0,1,0,0,2.38,0,8724.85,%sSafe
4,28.7,1967.59,108.03,544.83,865.99,11.39,13.27,14.49,0,0,0,0,0,0,1,0,0,2.38,0,8724.87,%sSafe
5,79.04,1967.59,107.92,544.83,865.99,11.39,13.27,14.49,0,0,0,0,0,0,1,0,0,2.38,0,8724.95,%sSafe
6,24.27,1967.59,107.92,544.45,865.64,11.41,13.27,14.49,0,0,0,0,0,0,1,0,0,2.38,0,8724.98,%sSafe
7,85.14,1967.59,107.92,544.45,865.64,11.41,13.27,14.49,0,0,0,0,0,0,1,0,0,2.38,0,8725.06,%sSafe
8,26.67,1967.59,107.92,544.45,865.64,11.41,13.16,14.54,0,0,0,0,0,0,1,0,0,2.38,0,8725.09,%sSafe
9,89.33,1967.59,107.92,544.45,865.64,11.41,13.16,14.54,0,0,0,0,0,0,1,0,0,2.38,-0.01,8725.18,%sSafe
10,23.22,1967.62,107.93,544.45,865.64,11.41,13.16,14.54,0,0,0,0,0,0,1,0,0,2.38,-0.01,8725.2,%sSafe
11,95.57,1967.62,107.93,544.52,865.64,11.41,13.16,14.54,0,0,0,0,0,0,1,0,0,2.38,-0.01,8725.3,%sSafe
12,93.38,1967.62,107.93,544.52,865.91,11.54,13.16,14.54,0,0,0,0,0,0,1,0,0,2.38,-0.01,8725.39,%sSafe
13,29.6,1967.62,107.93,544.52,865.91,11.54,12.71,14.54,0,0,0,0,0,0,1,0,0,2.38,-0.01,8725.42,%sSafe
14,83.14,1967.62,107.93,544.52,865.91,11.54,12.71,13.73,0,0,0,0,0,0,1,0,0,2.38,-0.01,8725.5,%sSafe
