Logging,,Pressures (psi),,,,,,,Temperatures (K),,,Valves,,,,,,Force (kg),,Sequence,,,
n,deltaTime,Nitrogen Pressure,Pneumatic Circuit Pressure,Purge Circuit Pressure,Oxidizer Fill Pressure,Oxidizer Tank Pressure,Fuel Tank Pressure,Chamber Pressure 1,Igniter Temperature,Oxidizer Bulkhead Temperature,Fuel Bulkhead Temperature,Nitrogen Purge Valve,Oxidizer Fill Valve,GSE Oxidizer Dump Valve,Tank Oxidizer Dump Valve,Main Oxidizer Valve,Main Fuel Valve,Total Tank Mass,Thrust,System Clock (s),State,,
0,3017229.81,1724.53,107.86,549.58,819.61,7.4,4.67,11.75,0,0,0,0,0,0,1,0,0,2.35,0.1,11926.85,%sSafe,,
1,24.99,1724.53,107.86,549.58,819.61,7.4,4.67,11.86,0,0,0,0,0,0,1,0,0,2.35,0.1,11926.87,%sSafe,,
2,75.45,1724.53,107.86,549.58,819.61,7.4,4.67,11.86,0,0,0,0,0,0,1,0,0,2.35,0.1,11926.95,%sSafe,,
3,29.65,1724.53,107.86,549.58,819.61,7.4,4.67,11.86,0,0,0,0,0,0,1,0,0,2.35,0.1,11926.98,%sSafe,,
4,75.88,1724.52,107.81,549.58,819.61,7.4,4.67,11.86,0,0,0,0,0,0,1,0,0,2.35,0.1,11927.05,%sSafe,,
5,25.6,1724.52,107.81,549.64,819.67,7.4,4.67,11.86,0,0,0,0,0,0,1,0,0,2.35,0.1,11927.08,%sSafe,,
6,83.15,1724.52,107.81,549.64,819.67,7.48,4.67,11.86,0,0,0,0,0,0,1,0,0,2.35,0.1,11927.16,%sSafe,,
7,26.36,1724.52,107.81,549.64,819.67,7.48,4.67,11.86,0,0,0,0,0,0,1,0,0,2.35,0.1,11927.19,%sSafe,,
8,66.22,1724.52,107.81,549.64,819.67,7.48,4.87,11.93,0,0,0,0,0,0,1,0,0,2.35,0.1,11927.25,%sSafe,,
9,28.13,1724.42,107.81,549.64,819.67,7.48,4.87,11.93,0,0,0,0,0,0,1,0,0,2.35,0.1,11927.28,%sSafe,,
10,105.61,1724.42,107.74,549.64,819.67,7.48,4.87,11.93,0,0,0,0,0,0,1,0,0,2.35,0.1,11927.39,%sSafe,,
11,33.39,1724.42,107.74,549.62,819.67,7.48,4.87,11.93,0,0,0,0,0,0,1,0,0,2.35,0.1,11927.42,%sSafe,,
12,132.78,1724.42,107.74,549.62,819.59,7.5,4.87,11.93,0,0,0,0,0,0,1,0,0,2.35,0.1,11927.55,%sSafe,,
13,80.8,1724.42,107.74,549.62,819.59,7.5,4.87,11.93,0,0,0,0,0,0,1,0,0,2.35,0.1,11927.63,%sSafe,,
